location,lat,lon
KENNEDY STATION,43.733246,-79.2625089
KIPLING STATION,43.6375325,-79.5356041
EGLINTON STATION,43.7056816,-79.3999085
WILSON STATION,43.734787,-79.4508764
FINCH STATION,43.7827711,-79.4147726
WARDEN STATION,43.7102456,-79.2795069
SCARBOROUGH CENTRE STA,43.7744371,-79.257805
YORK MILLS STATION,43.7451771,-79.4059651
DON MILLS STATION,43.7758147,-79.3463477
EGLINTON WEST STATION,43.6992438,-79.4361076
SHEPPARD WEST STATION,43.7492528,-79.4622252
JANE STATION,43.6498853,-79.484244
KEELE STATION,43.6556443,-79.4597782
VICTORIA PARK STATION,43.6942921,-79.288631
ISLINGTON STATION,43.6447975,-79.5247428
ROYAL YORK STATION,43.6482735,-79.5110232
MAIN STREET STATION,43.6888547,-79.3018255
RUNNYMEDE STATION,43.6518409,-79.4755723
FINCH WEST STATION,43.76321,-79.4903652
CASTLE FRANK STATION,43.6734986,-79.3690458
BROADVIEW STATION,43.6767854,-79.3584105
PIONEER VILLAGE,43.7768312,-79.5090799
LAWRENCE WEST STATION,43.7155161,-79.4442996
DUNDAS WEST STATION,43.6567312,-79.4538196
DAVISVILLE STATION,43.6978459,-79.3970645
OSSINGTON STATION,43.6623161,-79.4264203
EAST YORK ACRES,43.6986615,-79.3113104
BATHURST STATION,43.6664159,-79.4113092
BIRCHMOUNT GARAGE,43.7061515,-79.2709822
YORKDALE STATION,43.7246418,-79.4475031
ST CLAIR STATION,43.6879405,-79.3919094
EXHIBITION LOOP,43.6357917,-79.4173493
RENFORTH STATION,43.6650821,-79.5900043
PAPE STATION,43.6800489,-79.3445666
YONGE AND EGLINTON,43.706892,-79.3992228
MOUNT DENNIS GARAGE,43.6929001,-79.4949498
COXWELL STATION,43.6839754,-79.3229654
MAIN AND DANFORTH,43.6829644,-79.3000259
SUNNYBROOK HOSPITAL,43.7227482,-79.3755416
WOODBINE STATION,43.6864139,-79.3126246
JANE AND FINCH,43.7572632,-79.5176734
OLD MILL STATION,43.6501618,-79.495091
HIGHWAY 407 STATION,43.7833141,-79.5230877
JANE AND STEELES,43.7751456,-79.522181
JANE AND TRETHEWEY,43.6974173,-79.5011205
BATHURST AND WILSON,43.736855,-79.4334715
KEELE AND FINCH,43.7639285,-79.4913297
JANE AND WILSON,43.7212772,-79.510275
WESTON AND EGLINTON,43.6825356,-79.4650169
FRONT AND BAY,43.6459697,-79.3784875
EGLINTON AND BATHURST,43.7195958,-79.4326869
PROGRESS AND SHEPPARD,43.7942659,-79.234926
LAWRENCE AND WESTON,43.7000686,-79.5169692
LAWRENCE AND JANE,43.7026137,-79.5035592
STEELES AND JANE,43.7751456,-79.522181
GLENCAIRN AND BATHURST,43.7125181,-79.4282864
SHEPPARD AND JANE,43.7398425,-79.5142524
SHEPPARD AND KEELE,43.7444898,-79.4864923
JANE AND EGLINTON,43.7233736,-79.4600311
WILSON AND JANE,43.7212502,-79.5084852
JANE AND LAWRENCE,43.7026137,-79.5035592
DUFFERIN AND LAWRENCE,43.7135548,-79.4547956
JANE AND SHOREHAM,43.7689691,-79.5205825
STEELES AND NORTHWEST,43.7777164,-79.5104497
MARKHAM AND MILNER,43.7897922,-79.2367668
MILLWOOD AND OVERLEA,43.7024759,-79.3522111
LIBERTY AND ATLANTIC,43.6383816,-79.4212185
ELLESMERE AND KENNEDY,43.7701243,-79.2821463
MIDLAND AND EGLINTON,43.7344361,-79.2572459
EGLINTON AND DUPLEX,43.7062149,-79.4004652
BAY AND FRONT,43.6459697,-79.3784875
YONGE AND GERRARD,43.6598852,-79.3777239
KEELE AND WILSON,43.7272353,-79.4819829
MARKHAM AND SHEPPARD,43.7936736,-79.2367681
TRETHEWEY AND JANE,43.6973091,-79.5021825
ELLESMERE AND MARKHAM,43.7766305,-79.2320067
WILSON AND DUFFERIN,43.7310873,-79.4588042
DUFFERIN AND QUEEN,43.6420264,-79.4287496
PAPE AND O'CONNOR,43.6930952,-79.3503574
EGLINTON AND KEELE,43.6901724,-79.474525
EGLINTON AND WESTON,43.6902875,-79.4886278
KIPLING LOOP,43.5990103,-79.5175762
BATHURST AND EGLINTON,43.7133658,-79.4284762
EGLINTON AND MARKHAM,43.744055,-79.2187081
MIDLAND AND STEELES,43.8257277,-79.2977198
KEELE AND ST CLAIR,43.6724308,-79.4679911
SHEPPARD AND PROGRESS,43.7942659,-79.234926
JARVIS AND ESPLANADE,43.6483157,-79.370751
WARDEN AND STEELES,43.7995236,-79.319386
MIDLAND AND LAWRENCE,43.7516076,-79.2652374
WARDEN AND LAWRENCE,43.7451124,-79.2944493
AVENUE AND WILSON,43.7389953,-79.4256083
ELLESMERE AND MILITARY,43.7865385,-79.1889979
WILSON AND KEELE,43.7272353,-79.4819829
LANSDOWNE AND ST CLAIR,43.6762323,-79.4509564
STEELES AND KEELE,43.7812167,-79.494212
LAWRENCE AND VICTORIA,43.741773,-79.3089324
BAYVIEW AND LAWRENCE,43.6537719,-79.3537523
KENNEDY AND LAWRENCE,43.748091,-79.2736053
YONGE AND CUMMER,43.787316,-79.4162886
YONGE AND STEELES,43.7978989,-79.419804
ROUGE HILL GO STATION,43.7805266,-79.1301571
STEELES AND MARTIN GRO,43.7566739,-79.6077571
MEADOWVALE LOOP,43.8091292,-79.1707742
ROSELAWN AND BATHURST,43.705112,-79.426186
BIRCHMOUNT AND STEELES,43.8193576,-79.3154793
STEELES LOOP,43.7641596,-79.5763408
TRITON AND BRIMLEY,43.7736853,-79.2615187
KIPLING AND ALBION,43.7391785,-79.579931
JANE AND WESTON,43.6969192,-79.5018321
BAY AND KING,43.648658,-79.38026
STEELES AND YONGE,43.7978989,-79.419804
KENNEDY AND PROGRESS,43.7692493,-79.2820266
EGLINTON AND MIDLAND,43.7351516,-79.2582813
RYLANDER AND KINGSTON,43.7975851,-79.1499229
YONGE AND BLOOR,43.6691799,-79.3863223
JANE AND DRIFTWOOD,43.766017,-79.5194041
FINCH AND DUFFERIN,43.7682402,-79.4670142
ST CLAIR WEST STATION,43.6844313,-79.4156841
MORNINGSIDE AND FINCH,43.8190987,-79.2145023
PHARMACY AND EGLINTON,43.7010547,-79.4260307
KENNEDY AND ELLESMERE,43.7701243,-79.2821463
LAWRENCE AND DUFFERIN,43.7135548,-79.4547956
MCCOWAN AND FINCH,43.8077997,-79.2661587
PORT UNION AND LAWSON,43.7895346,-79.1410478
SHEPPARD AND SENTINEL,43.7438035,-79.4920157
FINCH AND KENNEDY,43.8105022,-79.3013164
